bill_id,phone_no,first_name,last_name,reward_points,store_id,bill_date
1,214-564-3528,Vyky,Parnham,49,42,2022-11-05 02:04:14
2,666-420-1183,,,85,28,2022-07-26 20:34:38
3,595-123-4768,Alexandre,Edlin,64,11,2022-07-07 17:33:00
4,624-741-3534,Biddie,Danett,52,87,2022-10-25 09:47:26
5,909-854-1498,Gordan,Garrand,23,24,2022-05-29 13:34:26
6,718-877-4568,,,55,80,2022-01-06 13:46:30
7,393-456-1990,,,27,53,2022-10-07 11:11:18
8,253-118-2123,,,36,53,2022-03-08 04:02:52
9,745-173-0082,,,85,68,2022-01-24 23:00:59
10,339-613-0478,,,58,93,2022-06-15 01:26:00
11,854-409-8732,Modesta,Verni,58,80,2022-11-25 18:14:59
12,835-443-6317,Bendite,Halpin,1,71,2022-04-22 02:23:37
13,935-257-6382,Beau,Stutte,3,9,2022-09-07 16:39:54
14,186-407-2964,,,12,38,2022-01-19 01:47:57
15,846-316-9988,Pyotr,Blunden,93,12,2022-06-29 01:27:46
16,298-490-8180,,,40,9,2022-02-15 10:52:39
17,565-635-8146,Siouxie,Niblock,64,60,2022-09-09 22:34:09
18,955-143-0172,,,78,81,2022-05-11 12:29:35
19,232-315-9331,Agosto,Brumbie,29,70,2022-06-30 15:03:04
20,181-773-0979,,,38,42,2022-03-06 15:17:09
21,571-821-4506,Henrie,Muncaster,96,38,2022-01-18 16:55:33
22,103-647-2390,,,96,58,2022-02-07 16:11:50
23,764-549-4735,Carlos,Bostock,87,13,2022-06-16 07:51:11
24,849-608-0436,,,60,8,2022-11-28 18:09:03
25,587-781-6772,,,53,65,2022-07-02 11:40:30
26,107-661-8763,Mil,Atto,58,76,2022-06-07 03:34:05
27,355-201-3388,,,35,56,2022-02-03 16:19:34
28,666-837-5982,Joyce,Cansdill,73,40,2022-02-14 22:23:41
29,784-199-5628,Lian,Longea,86,1,2022-10-27 14:26:23
30,416-243-7041,Garwin,Arch,24,73,2022-09-27 08:35:58
31,206-769-9777,,,19,57,2022-03-22 02:41:16
32,703-867-0177,Marshall,De Atta,54,55,2022-10-07 02:51:28
33,891-728-3240,,,28,79,2022-10-10 01:46:12
34,124-196-3295,Ardra,Camillo,59,49,2022-03-12 01:51:43
35,889-403-9495,,,12,29,2022-05-22 09:04:25
36,559-100-6360,,,4,36,2022-08-26 13:28:28
37,841-128-4503,,,70,2,2022-03-11 03:32:02
38,215-556-3595,Riane,Mawne,28,62,2022-09-08 16:30:47
39,391-266-8758,Rosa,Ullyott,59,81,2022-06-24 07:22:24
40,956-640-6565,Tabbatha,Kilbee,73,58,2022-09-08 19:20:01
41,171-727-3977,,,74,79,2022-01-07 12:22:44
42,105-515-1344,Lindsey,Batt,39,31,2022-07-19 02:41:08
43,703-517-6011,,,89,51,2022-09-06 05:08:36
44,717-584-1689,,,41,34,2022-11-07 09:25:10
45,317-597-7798,Ange,Doumic,15,2,2022-02-02 15:16:48
46,429-208-8963,Starla,Loxton,2,62,2022-06-17 22:36:32
47,245-435-9116,,,40,26,2022-07-20 09:31:28
48,531-888-2744,Catharina,Curlis,71,51,2022-08-17 23:11:23
49,582-825-6875,,,83,18,2022-08-30 23:51:54
50,576-685-9729,Tadeo,Leaton,79,99,2022-08-23 11:28:17
51,903-376-6413,Sibyl,Machon,19,33,2022-08-17 00:15:35
52,905-631-2126,Vinny,Bleasdale,37,86,2022-05-28 17:22:09
53,443-317-1704,Waneta,Ouver,3,17,2022-05-03 03:48:14
54,600-396-0854,Blayne,Dahmel,79,4,2022-10-26 00:45:51
55,122-952-6156,Berni,Brunger,38,53,2022-09-21 13:46:30
56,260-242-0875,,,87,13,2022-11-11 04:02:59
57,867-557-2806,,,22,74,2022-01-23 20:11:44
58,645-937-9605,,,86,8,2022-11-05 15:49:43
59,917-694-6771,,,53,75,2022-04-20 21:34:43
60,165-394-5702,Rivi,Bulfoot,72,40,2022-01-23 23:49:31
61,107-724-4710,Avrom,McLugaish,19,5,2022-08-31 07:11:07
62,918-283-4210,Pavel,Gobert,51,5,2022-06-15 10:19:25
63,669-116-8874,,,20,28,2022-06-20 18:59:33
64,367-173-3221,Judy,Drewery,20,73,2022-08-30 13:49:23
